sample,run_type,purity,ploidy,dipLogR,facets_version,cval,snp_nbhd,min_nhet,ndepth,genome,seed,flags,input_file,genome_doubled,fraction_cna,hypoploid,fraction_loh,lst,ntai,hrd_loh
X2593,hisens,NA,2,-0.18,0.6.2,25,250,15,35,hg38,100,,X2593_ordered.csv.gz,FALSE,0.99,FALSE,0,8,10,1
X2638,purity,0.93,3.1,-0.61,0.6.2,50,250,15,35,hg38,100,NA,X2638_ordered.csv.gz,FALSE,0.93,FALSE,0,22,15,4
X2638,hisens,0.94,3.1,-0.61,0.6.2,25,250,15,35,hg38,100,NA,X2638_ordered.csv.gz,FALSE,0.99,FALSE,0,11,9,1
X2648,purity,0.35,2.7,-0.17,0.6.2,50,250,15,35,hg38,100,likely mixture of 1+0 & 2+0 in segclust: 7, 8,X2648_ordered.csv.gz,FALSE,0.93,FALSE,0,25,19,12
X2648,hisens,NA,2,-0.17,0.6.2,25,250,15,35,hg38,100,,X2648_ordered.csv.gz,FALSE,0.99,FALSE,0,13,10,4
X2665,purity,0.73,4.4,-0.91,0.6.2,50,250,15,35,hg38,100,possibly subclonal 2+2 states present; mafR larger than expected if -0.157249737379834 is diploid level; not consistent for 1 copy loss from diploid in segclust: 19, 22, 25, 28, 29, 32, 33,X2665_ordered.csv.gz,FALSE,1,FALSE,0,4,13,4
X2665,hisens,NA,2,-0.91,0.6.2,25,250,15,35,hg38,100,,X2665_ordered.csv.gz,FALSE,1,FALSE,0,0,4,0
X2700,purity,0.67,2.5,-0.23,0.6.2,50,250,15,35,hg38,100,mafR not sufficiently small; mafR<0.09 in less than 10% genome; mafR larger than expected if 0.594553434458421 is diploid level; not consistent for 1 copy loss from diploid in segclust: 25, 27, 30, 38, 45, 48, 51, 53, 55, 56, 59, 62, 63, 65,X2700_ordered.csv.gz,FALSE,0.92,FALSE,0,33,20,3
X2700,hisens,NA,2,-0.23,0.6.2,25,250,15,35,hg38,100,,X2700_ordered.csv.gz,FALSE,1,FALSE,0,23,5,0
X2704,purity,0.3,3,-0.19,0.6.2,50,250,15,35,hg38,100,mafR larger than expected if 0.0448919307283828 is diploid level; not consistent for 1 copy loss from diploid in segclust: 9, 11,X2704_ordered.csv.gz,FALSE,0.94,FALSE,0,27,19,2
X2704,hisens,NA,2,-0.19,0.6.2,25,250,15,35,hg38,100,,X2704_ordered.csv.gz,FALSE,1,FALSE,0,14,10,0
X2716,purity,0.75,3.3,-0.57,0.6.2,50,250,15,35,hg38,100,mafR not sufficiently small; mafR<0.09 in less than 10% genome; mafR larger than expected if 0.277212053503214 is diploid level; not consistent for 1 copy loss from diploid in segclust: 10, 11, 34, 39, 42, 45, 46, 49, 51, 53, 55, 57, 58, 61, 62, 65, 67, 68, 70,X2716_ordered.csv.gz,FALSE,1,FALSE,0,14,20,6
X2716,hisens,0.77,3.2,-0.57,0.6.2,25,250,15,35,hg38,100,,X2716_ordered.csv.gz,FALSE,1,FALSE,0,12,8,3
X2763,purity,0.64,3.7,-0.63,0.6.2,50,250,15,35,hg38,100,possibly subclonal 2+2 states present; mafR larger than expected if -0.0346266555762298 is diploid level; not consistent for 1 copy loss from diploid in segclust: 20, 21, 23, 24, 26, 32,X2763_ordered.csv.gz,FALSE,1,FALSE,0,23,11,8
X2763,hisens,NA,2,-0.63,0.6.2,25,250,15,35,hg38,100,,X2763_ordered.csv.gz,FALSE,1,FALSE,0,2,5,0
X2773,purity,0.32,2.8,-0.17,0.6.2,50,250,15,35,hg38,100,possibly subclonal 2+2 states present; likely mixture of 1+0 & 2+0 in segclust: 8; alternate dipLogR is possible; not consistent for 1 copy loss from diploid in segclust: 8; multiple mafR levels at bal allele level 1,X2773_ordered.csv.gz,FALSE,0.8,FALSE,0,20,14,1
X2773,hisens,0.33,2.8,-0.17,0.6.2,25,250,15,35,hg38,100,,X2773_ordered.csv.gz,FALSE,0.97,FALSE,0,14,5,2
X2797,purity,0.6,2.7,-0.29,0.6.2,50,250,15,35,hg38,100,mafR not sufficiently small; likely mixture of 1+0 & 2+0 in segclust: 19, 21, 23,X2797_ordered.csv.gz,FALSE,0.9,FALSE,0,34,18,8
X2797,hisens,NA,2,-0.29,0.6.2,25,250,15,35,hg38,100,,X2797_ordered.csv.gz,FALSE,0.99,FALSE,0,16,8,3
X2816,purity,0.32,3.1,-0.24,0.6.2,50,250,15,35,hg38,100,mafR larger than expected if 0.0473912930733671 is diploid level; not consistent for 1 copy loss from diploid in segclust: 4, 7, 15, 17, 20, 22,X2816_ordered.csv.gz,FALSE,0.96,FALSE,0,13,19,4
X2816,hisens,NA,2,-0.24,0.6.2,25,250,15,35,hg38,100,,X2816_ordered.csv.gz,FALSE,0.99,FALSE,0,6,11,0
X2825,purity,0.56,2.8,-0.28,0.6.2,50,250,15,35,hg38,100,likely mixture of 1+0 & 2+0 in segclust: 11, 12, 13, 15,X2825_ordered.csv.gz,FALSE,0.94,FALSE,0,18,19,3
X2825,hisens,0.57,2.8,-0.28,0.6.2,25,250,15,35,hg38,100,,X2825_ordered.csv.gz,FALSE,0.99,FALSE,0,10,9,0
X2890,purity,0.42,1.9,0.033,0.6.2,50,250,15,35,hg38,100,likely mixture of 1+0 & 2+0 in segclust: 21, 23, 24, 26, 29, 30,X2890_ordered.csv.gz,FALSE,0.78,FALSE,0.1,23,16,14
X2890,hisens,NA,2,0.033,0.6.2,25,250,15,35,hg38,100,,X2890_ordered.csv.gz,FALSE,0.97,FALSE,0,11,11,10
X2902,purity,0.54,3.7,-0.56,0.6.2,50,250,15,35,hg38,100,mafR not sufficiently small; possibly subclonal 2+2 states present; mafR larger than expected if 0.0233270043785607 is diploid level; not consistent for 1 copy loss from diploid in segclust: 3, 6, 8, 12, 16, 19, 25, 29, 31, 34, 37, 40, 42, 43,X2902_ordered.csv.gz,TRUE,0.84,FALSE,0,20,19,5
X2902,hisens,NA,2,-0.56,0.6.2,25,250,15,35,hg38,100,,X2902_ordered.csv.gz,FALSE,1,FALSE,0,12,12,0
X2949,purity,0.72,2.6,-0.28,0.6.2,50,250,15,35,hg38,100,mafR not sufficiently small; mafR<0.09 in less than 10% genome; mafR larger than expected if 0.576105158334685 is diploid level; not consistent for 1 copy loss from diploid in segclust: 13, 15, 16, 18, 19, 20, 26, 28, 31, 33, 36, 45, 49, 56, 63, 65, 66, 68, 71, 72, 74, 76, 78, 80, 81, 84, 86, 87, 88, 90, 91, 92, 93, 94, 96,X2949_ordered.csv.gz,FALSE,0.84,FALSE,0,15,23,5
X2949,hisens,0.75,2.6,-0.28,0.6.2,25,250,15,35,hg38,100,,X2949_ordered.csv.gz,FALSE,0.99,FALSE,0,14,13,3
X2991,purity,0.78,3.2,-0.54,0.6.2,50,250,15,35,hg38,100,mafR not sufficiently small; mafR<0.09 in less than 10% genome; mafR larger than expected if 0.242529805923463 is diploid level; not consistent for 1 copy loss from diploid in segclust: 9, 14, 36, 37, 40, 42, 44, 45, 46, 48, 49, 52, 54, 55, 56,X2991_ordered.csv.gz,FALSE,0.98,FALSE,0,13,10,2
X2991,hisens,0.7,3.3,-0.54,0.6.2,25,250,15,35,hg38,100,,X2991_ordered.csv.gz,FALSE,1,FALSE,0,5,10,0
X2998,purity,0.73,3.1,-0.5,0.6.2,50,250,15,35,hg38,100,mafR not sufficiently small; mafR<0.09 in less than 10% genome; mafR larger than expected if 0.314338708747638 is diploid level; not consistent for 1 copy loss from diploid in segclust: 30, 35, 37, 39, 41, 43, 45, 46, 48, 49, 52, 53, 54, 57, 58, 59,X2998_ordered.csv.gz,FALSE,0.95,FALSE,0,30,13,3
X2998,hisens,NA,2,-0.5,0.6.2,25,250,15,35,hg38,100,,X2998_ordered.csv.gz,FALSE,1,FALSE,0,16,10,1
X300,purity,0.74,3,-0.47,0.6.2,50,250,15,35,hg38,100,mafR not sufficiently small; mafR<0.09 in less than 10% genome; mafR larger than expected if 0.349056749756928 is diploid level; not consistent for 1 copy loss from diploid in segclust: 14, 38, 41, 42, 45, 46, 49, 50, 53, 55, 57, 59,X300_ordered.csv.gz,FALSE,0.99,FALSE,0,22,20,5
X300,hisens,NA,2,-0.47,0.6.2,25,250,15,35,hg38,100,,X300_ordered.csv.gz,FALSE,1,FALSE,0,14,13,0
X301,purity,0.76,2.8,-0.4,0.6.2,50,250,15,35,hg38,100,mafR not sufficiently small; mafR<0.09 in less than 10% genome; mafR larger than expected if 0.443174111959402 is diploid level; not consistent for 1 copy loss from diploid in segclust: 13, 14, 16, 17, 20, 23, 31, 42, 50, 57, 58, 60, 61, 64, 65, 66, 68, 70, 72, 73,X301_ordered.csv.gz,FALSE,0.9,FALSE,0,19,18,1
X301,hisens,NA,2,-0.4,0.6.2,25,250,15,35,hg38,100,,X301_ordered.csv.gz,FALSE,1,FALSE,0,14,7,0
X3056,purity,0.44,1.6,0.14,0.6.2,50,250,15,35,hg38,100,likely mixture of 1+0 & 2+0 in segclust: 24,X3056_ordered.csv.gz,FALSE,0.8,FALSE,0.064,16,20,26
X3056,hisens,NA,2,0.14,0.6.2,25,250,15,35,hg38,100,,X3056_ordered.csv.gz,FALSE,0.99,FALSE,0,7,11,16
X3059,purity,0.3,3,-0.21,0.6.2,50,250,15,35,hg38,100,likely mixture of 1+0 & 2+0 in segclust: 7, 9,X3059_ordered.csv.gz,TRUE,0.8,FALSE,0,13,16,8
X3059,hisens,NA,2,-0.21,0.6.2,25,250,15,35,hg38,100,,X3059_ordered.csv.gz,FALSE,0.99,FALSE,0,15,10,0
X3080,purity,0.68,1.8,0.081,0.6.2,50,250,15,35,hg38,100,likely mixture of 1+0 & 2+0 in segclust: 21, 25, 26, 29, 30, 33, 36, 37,X3080_ordered.csv.gz,FALSE,0.84,FALSE,0.043,24,23,16
X3080,hisens,NA,2,0.081,0.6.2,25,250,15,35,hg38,100,,X3080_ordered.csv.gz,FALSE,0.98,FALSE,0,11,18,7
X3107,purity,0.91,2.8,-0.46,0.6.2,50,250,15,35,hg38,100,likely mixture of 1+0 & 2+0 in segclust: 26, 29,X3107_ordered.csv.gz,FALSE,0.94,FALSE,0,9,14,7
X3107,hisens,0.88,2.9,-0.46,0.6.2,25,250,15,35,hg38,100,,X3107_ordered.csv.gz,FALSE,0.98,FALSE,0,4,13,1
X3144,purity,0.28,1.9,0.031,0.6.2,50,250,15,35,hg38,100,NA,X3144_ordered.csv.gz,FALSE,0.62,FALSE,0,26,10,3
X3144,hisens,NA,2,0.031,0.6.2,25,250,15,35,hg38,100,NA,X3144_ordered.csv.gz,FALSE,0.94,FALSE,0,23,6,4
X3151,purity,0.84,3.6,-0.75,0.6.2,50,250,15,35,hg38,100,likely mixture of 1+0 & 2+0 in segclust: 16, 18, 20, 22,X3151_ordered.csv.gz,FALSE,0.9,FALSE,0,15,19,1
X3151,hisens,0.8,3.7,-0.75,0.6.2,25,250,15,35,hg38,100,,X3151_ordered.csv.gz,FALSE,0.97,FALSE,0,16,9,0
X3225,purity,0.64,1.8,0.081,0.6.2,50,250,15,35,hg38,100,likely mixture of 1+0 & 2+0 in segclust: 19, 22, 24, 27, 30,X3225_ordered.csv.gz,FALSE,0.89,FALSE,0.023,31,22,0
X3225,hisens,0.63,1.8,0.081,0.6.2,25,250,15,35,hg38,100,,X3225_ordered.csv.gz,FALSE,0.98,FALSE,0.037,10,18,0
X3238,purity,0.65,3.4,-0.54,0.6.2,50,250,15,35,hg38,100,mafR not sufficiently small; mafR<0.09 in less than 10% genome; likely mixture of 1+0 & 2+0 in segclust: 16,X3238_ordered.csv.gz,FALSE,0.98,FALSE,0,28,19,6
X3238,hisens,NA,2,-0.54,0.6.2,25,250,15,35,hg38,100,,X3238_ordered.csv.gz,FALSE,1,FALSE,0,10,9,2
X3297,purity,0.51,2.8,-0.26,0.6.2,50,250,15,35,hg38,100,mafR not sufficiently small; mafR larger than expected if -0.200730703332108 is diploid level; not consistent for 1 copy loss from diploid in segclust: 9, 12, 15, 16, 18, 21,X3297_ordered.csv.gz,FALSE,0.97,FALSE,0,25,21,14
X3297,hisens,0.51,2.8,-0.26,0.6.2,25,250,15,35,hg38,100,,X3297_ordered.csv.gz,FALSE,0.99,FALSE,0,5,17,4
X3349,purity,0.52,1.9,0.056,0.6.2,50,250,15,35,hg38,100,likely mixture of 1+0 & 2+0 in segclust: 14,X3349_ordered.csv.gz,FALSE,0.8,FALSE,0,33,26,29
X3349,hisens,NA,2,0.056,0.6.2,25,250,15,35,hg38,100,,X3349_ordered.csv.gz,FALSE,0.97,FALSE,0,13,18,16
X3391,purity,0.42,3,-0.28,0.6.2,50,250,15,35,hg38,100,NA,X3391_ordered.csv.gz,FALSE,0.89,FALSE,0,21,15,6
X3391,hisens,NA,2,-0.28,0.6.2,25,250,15,35,hg38,100,NA,X3391_ordered.csv.gz,FALSE,0.99,FALSE,0,17,11,1
X342,purity,0.8,2.2,-0.089,0.6.2,50,250,15,35,hg38,100,mafR not sufficiently small; mafR<0.09 in less than 10% genome; likely mixture of 1+0 & 2+0 in segclust: 17,X342_ordered.csv.gz,FALSE,0.52,FALSE,0,9,3,0
X342,hisens,NA,2,-0.089,0.6.2,25,250,15,35,hg38,100,,X342_ordered.csv.gz,FALSE,1,FALSE,0,13,12,0
X356,purity,0.79,2,-0.017,0.6.2,50,250,15,35,hg38,100,mafR not sufficiently small; mafR<0.09 in less than 10% genome,X356_ordered.csv.gz,FALSE,0.42,FALSE,0,5,4,0
X356,hisens,NA,2,-0.017,0.6.2,25,250,15,35,hg38,100,,X356_ordered.csv.gz,FALSE,1,FALSE,0,12,9,0
X429,purity,0.77,1.8,0.1,0.6.2,50,250,15,35,hg38,100,likely mixture of 1+0 & 2+0 in segclust: 18, 21, 23, 25,X429_ordered.csv.gz,FALSE,0.79,FALSE,0.049,31,23,18
X429,hisens,NA,2,0.1,0.6.2,25,250,15,35,hg38,100,,X429_ordered.csv.gz,FALSE,0.96,FALSE,0.083,17,18,13
X451,purity,0.82,2.6,-0.3,0.6.2,50,250,15,35,hg38,100,mafR not sufficiently small; mafR<0.09 in less than 10% genome; mafR larger than expected if 0.574090000942334 is diploid level; not consistent for 1 copy loss from diploid in segclust: 24, 29, 49, 51, 58, 61, 63, 66, 67, 68, 70, 71, 75, 77, 78, 80,X451_ordered.csv.gz,FALSE,0.93,FALSE,0,26,16,6
X451,hisens,0.64,2.7,-0.3,0.6.2,25,250,15,35,hg38,100,,X451_ordered.csv.gz,FALSE,1,FALSE,0,9,12,2
X472,purity,0.75,3.1,-0.51,0.6.2,50,250,15,35,hg38,100,mafR not sufficiently small; mafR<0.09 in less than 10% genome; mafR larger than expected if 0.331715235093197 is diploid level; not consistent for 1 copy loss from diploid in segclust: 11, 12, 38, 42, 43, 46, 47, 48, 49, 52, 54, 57, 58, 59, 61, 62, 64, 65, 66,X472_ordered.csv.gz,FALSE,1,FALSE,0,31,17,6
X472,hisens,NA,2,-0.51,0.6.2,25,250,15,35,hg38,100,,X472_ordered.csv.gz,FALSE,1,FALSE,0,9,6,1
X544,purity,0.59,3.6,-0.55,0.6.2,50,250,15,35,hg38,100,mafR larger than expected if 0.131474446552391 is diploid level; not consistent for 1 copy loss from diploid in segclust: 3, 24, 26,X544_ordered.csv.gz,TRUE,0.76,FALSE,0,31,17,6
X544,hisens,NA,2,-0.55,0.6.2,25,250,15,35,hg38,100,,X544_ordered.csv.gz,FALSE,1,FALSE,0,10,6,0
X592,purity,0.81,3.7,-0.76,0.6.2,50,250,15,35,hg38,100,mafR not sufficiently small; mafR<0.09 in less than 10% genome; mafR larger than expected if 0.117440006326064 is diploid level; not consistent for 1 copy loss from diploid in segclust: 38, 39, 40, 42, 44, 47, 49, 51, 53, 54, 56, 57,X592_ordered.csv.gz,FALSE,1,FALSE,0,32,12,2
X592,hisens,NA,2,-0.76,0.6.2,25,250,15,35,hg38,100,,X592_ordered.csv.gz,FALSE,1,FALSE,0,13,6,0
X603,purity,0.27,1.9,0.027,0.6.2,50,250,15,35,hg38,100,NA,X603_ordered.csv.gz,FALSE,0.7,FALSE,0.016,15,10,13
X603,hisens,0.31,1.9,0.027,0.6.2,25,250,15,35,hg38,100,NA,X603_ordered.csv.gz,FALSE,0.96,FALSE,0,9,5,14
X655,purity,0.66,1.8,0.088,0.6.2,50,250,15,35,hg38,100,likely mixture of 1+0 & 2+0 in segclust: 20, 23, 27,X655_ordered.csv.gz,FALSE,0.8,FALSE,0.12,20,15,14
X655,hisens,0.66,1.8,0.088,0.6.2,25,250,15,35,hg38,100,,X655_ordered.csv.gz,FALSE,0.96,FALSE,0,14,14,8
X736,purity,0.58,1.8,0.084,0.6.2,50,250,15,35,hg38,100,likely mixture of 1+0 & 2+0 in segclust: 19,X736_ordered.csv.gz,FALSE,0.82,FALSE,0.056,24,17,14
X736,hisens,0.57,1.8,0.084,0.6.2,25,250,15,35,hg38,100,,X736_ordered.csv.gz,FALSE,0.97,FALSE,0,14,12,10
X80,purity,0.68,1.9,0.046,0.6.2,50,250,15,35,hg38,100,likely mixture of 1+0 & 2+0 in segclust: 19, 21, 26,X80_ordered.csv.gz,FALSE,0.83,FALSE,0,23,23,11
X80,hisens,NA,2,0.046,0.6.2,25,250,15,35,hg38,100,,X80_ordered.csv.gz,FALSE,0.97,FALSE,0,5,18,6
X860,purity,0.52,1.8,0.065,0.6.2,50,250,15,35,hg38,100,NA,X860_ordered.csv.gz,FALSE,0.72,FALSE,0,25,14,21
X860,hisens,0.49,1.8,0.065,0.6.2,25,250,15,35,hg38,100,NA,X860_ordered.csv.gz,FALSE,0.9,FALSE,0,18,13,11
X88,purity,0.9,2.1,-0.05,0.6.2,50,250,15,35,hg38,100,NA,X88_ordered.csv.gz,FALSE,0.31,FALSE,0,4,5,0
X88,hisens,NA,2,-0.05,0.6.2,25,250,15,35,hg38,100,NA,X88_ordered.csv.gz,FALSE,0.92,FALSE,0,12,2,0
X935,purity,0.55,3.7,-0.55,0.6.2,50,250,15,35,hg38,100,likely mixture of 1+0 & 2+0 in segclust: 5,X935_ordered.csv.gz,TRUE,0.89,FALSE,0,20,18,5
X935,hisens,0.53,3.7,-0.55,0.6.2,25,250,15,35,hg38,100,,X935_ordered.csv.gz,FALSE,1,FALSE,0,20,14,1
X93,purity,0.82,4.1,-0.9,0.6.2,50,250,15,35,hg38,100,mafR not sufficiently small; mafR<0.09 in less than 10% genome; mafR larger than expected if -0.0179605879824846 is diploid level; not consistent for 1 copy loss from diploid in segclust: 23, 24, 26, 27, 29, 31, 33, 35, 36, 41, 43, 44,X93_ordered.csv.gz,FALSE,1,FALSE,0,27,19,7
X93,hisens,0.83,4.1,-0.9,0.6.2,25,250,15,35,hg38,100,,X93_ordered.csv.gz,FALSE,1,FALSE,0,21,9,0
X94,purity,0.7,3.5,-0.62,0.6.2,50,250,15,35,hg38,100,mafR larger than expected if 0.138582830574597 is diploid level; not consistent for 1 copy loss from diploid in segclust: 28, 30, 41,X94_ordered.csv.gz,FALSE,1,FALSE,0,25,11,6
X94,hisens,NA,2,-0.62,0.6.2,25,250,15,35,hg38,100,,X94_ordered.csv.gz,FALSE,1,FALSE,0,12,8,0
X970,purity,0.84,1.8,0.1,0.6.2,50,250,15,35,hg38,100,NA,X970_ordered.csv.gz,FALSE,0.8,FALSE,0.056,35,22,17
X970,hisens,NA,2,0.1,0.6.2,25,250,15,35,hg38,100,NA,X970_ordered.csv.gz,FALSE,0.95,FALSE,0.093,14,17,8
X987,purity,0.78,2.2,-0.13,0.6.2,50,250,15,35,hg38,100,mafR not sufficiently small; mafR<0.09 in less than 10% genome,X987_ordered.csv.gz,FALSE,0.75,FALSE,0,22,9,3
X987,hisens,NA,2,-0.13,0.6.2,25,250,15,35,hg38,100,,X987_ordered.csv.gz,FALSE,1,FALSE,0,11,13,3
X991,purity,0.69,3.3,-0.53,0.6.2,50,250,15,35,hg38,100,NA,X991_ordered.csv.gz,TRUE,0.72,FALSE,0,18,7,1
X991,hisens,NA,2,-0.53,0.6.2,25,250,15,35,hg38,100,NA,X991_ordered.csv.gz,FALSE,0.99,FALSE,0,21,10,0
