cytoband	6p22.2	1q21.1	5q31.3	20q13.2	6q21	11q13.1	14q13.3	17q23.3	12p12.1	3q29	7q31.2	21q22.11	8q24.13	8p23.1	13q33.1	3q21.3	4q31.21	7q36.1	11q14.2	15q25.3	10q21.2	15q26.3	5p13.2	19q13.33	12q14.3	16p13.13	12q13.11	2q31.2	3q25.1	2q24.2	14q11.2	17q21.2	16q13	16q24.1	19q12	5p15.33	4q28.1	21q22.3	9q33.2	9p22.3	10q25.1	21q11.2	5q22.3	19q13.12	
																																												NFKBID	
																																												LMNB2	
																																												RAX2	
																																												ZBTB45	
																																												CEP89	
																																												ZNF382	
																																												ZNF587	
																																												FIZ1	
																																												ZNF566	
																																												MUM1	
																																												HSH2D	
																																												MPND	
																																												ALKBH6	
																																												ATG4D	
																																												ATCAY	
																																												SYDE1	
																																												RHPN2	
																																												MBD3L1	
																																												GALP	
																																												SIGLEC10	
																																												SIGLEC12	
																																												ZNF628	
																																												MIDN	
																																												KIR3DX1	
																																												ZNF30	
																																												ZNF551	
																																												CEACAM21	
																																												ZNF616	
																																												ZNF766	
																																												CCDC97	
																																												EXOC3L2	
																																												ZNF468	
																																												ZNF160	
																																												CTU1	
																																												SAMD1	
																																												DCAF15	
																																												GADD45GIP1	
																																												ZNF835	
																																												YIF1B	
																																												ZNF799	
																																												C19orf52	
																																												ZNF625	
																																												ZNF700	
																																												ZNF439	
																																												ZNF486	
																																												DPP9	
																																												ZNF682	
																																												R3HDM4	
																																												TMEM259	
																																												FAAP24	
																																												TDRD12	
																																												ZNF765	
																																												NLRP12	
																																												MYADM	
																																												ZNF845	
																																												TPGS1	
																																												ZNF461	
																																												ZNF585B	
																																												CRB3	
																																												TIMM50	
																																												SHKBP1	
																																												REEP6	
																																												PEX11G	
																																												DMKN	
																																												ZNF561	
																																												OLFM2	
																																												CCDC114	
																																												HAUS8	
																																												MVB12A	
																																												LOC93429	
																																												ARMC6	
																																												ACPT	
																																												CGB5	
																																												MUC16	
																																												CGB7	
																																												LRRC4B	
																																												ZNF101	
																																												LENG9	
																																												CGB8	
																																												GNG8	
																																												PPP1R14A	
																																												EGLN2	
																																												BIRC8	
																																												FAM71E1	
																																												RDH13	
																																												FDX1L	
																																												NACC1	
																																												PTH2	
																																												IZUMO4	
																																												SCAMP4	
																																												ADAT3	
																																												MISP3	
																																												ZNF257	
																																												ZIM3	
																																												SIGLEC11	
																																												CGB1	
																																												CGB2	
																																												PGLYRP2	
																																												LMTK3	
																																												LENG8	
																																												CCDC124	
																																												ZNF554	
																																												FBXO17	
																																												KIR3DL3	
																																												ARHGAP33	
																																												EVI5L	
																																												RASGRP4	
																																												NXNL1	
																																												CCDC151	
																																												ZNF653	
																																												ZNF526	
																																												ZNF837	
																																												GRIN3B	
																																												MRPL54	
																																												LRG1	
																																												CIB3	
																																												RLN3	
																																												CLDND2	
																																												ZNF816	
																																												ZNF543	
																																												CEACAM20	
																																												RAVER1	
																																												OR7D4	
																																												OR7G1	
																																												OR1M1	
																																												COX6B2	
																																												CALR3	
																																												ACER1	
																																												C19orf70	
																																												MBD3L2	
																																												TRAPPC5	
																																												PCP2	
																																												OSCAR	
																																												ZNF813	
																																												ZNF441	
																																												ZNF491	
																																												ZNF440	
																																												SWSAP1	
																																												CCDC159	
																																												JOSD2	
																																												IZUMO2	
																																												CPT1C	
																																												ALDH16A1	
																																												NTN5	
																																												NLRP13	
																																												NLRP8	
																																												NLRP5	
																																												ZNF787	
																																												ZNF573	
																																												WDR88	
																																												TMIGD2	
																																												EID2B	
																																												TNFAIP8L1	
																																												ZNF57	
																																												IRGQ	
																																												ZNF428	
																																												JSRP1	
																																												MOB3A	
																																												MFSD12	
																																												GIPC3	
																																												NDUFA11	
																																												MISP	
																																												LRRC25	
																																												OR1I1	
																																												WTIP	
																																												ZNF792	
																																												NR2C2AP	
																																												HSPB6	
																																												CCDC105	
																																												CYP4F22	
																																												RINL	
																																												FBXO27	
																																												PLK5	
																																												C19orf47	
																																												LINC00661	
																																												OR10H4	
																																												ANKLE1	
																																												C2CD4C	
																																												ZNF358	
																																												ZFP28	
																																												VSIG10L	
																																												C19orf84	
																																												SPACA6	
																																												ZNF480	
																																												ZNF534	
																																												ZNF578	
																																												ERVV-1	
																																												SMIM17	
																																												C19orf18	
																																												ZNF418	
																																												ZNF417	
																																												ZNF548	
																																												PPM1N	
																																												KLC3	
																																												IGSF23	
																																												LYPD4	
																																												ILF3-AS1	
																																												ZNF560	
																																												TMEM190	
																																												HIPK4	
																																												TMC4	
																																												TPM3P9	
																																												ZNF524	
																																												ZNF784	
																																												ZNF563	
																																												SPC24	
																																												CCDC155	
																																												DACT3	
																																												SIX5	
																																												IGFL2	
																																												ZNF420	
																																												ZNF565	
																																												NLRP4	
																																												ZNF542P	
																																												ZNF582	
																																												ZNF583	
																																												FAM98C	
																																												CAPN12	
																																												DPY19L3	
																																												LGALS16	
																																												TTC9B	
																																												TICAM1	
																																												CIRBP-AS1	
																																												ZNRF4	
																																												ZNF599	
																																												FAM187B	
																																												CILP2	
																																												PROSER3	
																																												LINC00906	
																																												ZNF558	
																																												CDC42EP5	
																																												LINC00662	
																																												ZNF98	
																																												ZNF738	
																																												ZNF714	
																																												ZNF681	
																																												C19orf25	
																																												ATP8B3	
																																												LINC00905	
																																												DIRAS1	
																																												ZNF555	
																																												ZNF569	
																																												ZNF570	
																																												ZNF836	
																																												ZNF610	
																																												ZNF600	
																																												ZNF320	
																																												ZNF497	
																																												ZNF550	
																																												ZNF296	
																																												DEDD2	
																																												ZNF846	
																																												OR7D2	
																																												ZNF579	
																																												ZNF791	
																																												ZNF564	
																																												ZNF709	
																																												ZNF433	
																																												ZNF114	
																																												ZNF567	
																																												ZNF383	
																																												ZNF781	
																																												EID2	
																																												ZNF780B	
																																												PRR22	
																																												LGI4	
																																												SYNE4	
																																												ZNF676	
																																												ZNF100	
																																												ZNF540	
																																												SSBP4	
																																												ZNF525	
																																												ZNF431	
																																												ANKRD24	
																																												SPACA4	
																																												ZNF675	
																																												MCEMP1	
																																												ZNF627	
																																												DAND5	
																																												ZNF585A	
																																												NLRP7	
																																												GGN	
																																												CADM4	
																																												THAP8	
																																												U2AF1L4	
																																												ZNF626	
																																												FAM129C	
																																												ADM5	
																																												ZNF584	
																																												ZSCAN4	
																																												NLRP11	
																																												TMEM86B	
																																												CBARP	
																																												CSNK1G2-AS1	
																																												INAFM1	
																																												C19orf38	
																																												ZNF549	
																																												SYCE2	
																																												NAPSB	
																																												KANK3	
																																												TINCR	
																																												CATSPERD	
																																												IL4I1	
																																												IFNL2	
																																												IFNL3	
																																												IFNL1	
																																												SSC5D	
																																												ZNF547	
																																												ZIK1	
																																												ZNF776	
																																												ZSCAN1	
																																												ZNF780A	
																																												C19orf54	
																																												PRR19	
																																												TMEM145	
																																												CXCL17	
																																												LOC284344	
																																												ZNF575	
																																												LYPD5	
																																												ZNF283	
																																												PPP1R37	
																																												NKPD1	
																																												TPRX1	
																																												MAMSTR	
																																												IZUMO1	
																																												EMC10	
																																												MGC45922	
																																												KLK9	
																																												SIGLEC17P	
																																												SIGLECL1	
																																												ZNF615	
																																												ZNF841	
																																												LOC284379	
																																												ACTL9	
																																												OR2Z1	
																																												ZNF561-AS1	
																																												ZNF763	
																																												ZNF844	
																																												LOC284395	
																																												SCGB2B2	
																																												WDR62	
																																												ZFP82	
																																												ZNF790-AS1	
																																												LOC284412	
																																												VSTM1	
																																												TMEM150B	
																																												FAM71E2	
																																												SMIM24	
																																												MIR7-3HG	
																																												SLC25A41	
																																												MBD3L5	
																																												OR10H5	
																																												NWD1	
																																												SLC25A42	
																																												LINC00663	
																																												ZNF493	
																																												ODF3L2	
																																												LOC284454	
																																												HKR1	
																																												VN1R2	
																																												VN1R4	
																																												ADGRE4P	
																																												NLRP9	
																																												ZNF181	
																																												ZNF260	
																																												ZNF546	
																																												MYPOP	
																																												NANOS2	
																																												ADAMTSL5	
																																												CLEC4G	
																																												VSTM2B	
																																												ZNF850	
																																												NCCRP1	
																																												SYCN	
																																												LEUTX	
																																												ZNF404	
																																												ZNF284	
																																												C19orf81	
																																												ZNF677	
																																												RFPL4A	
																																												ZSCAN5B	
																																												ZSCAN22	
																																												NANOS3	
																																												PALM3	
																																												SELV	
																																												ZNF530	
																																												DNAAF3	
																																												ZNF429	
																																												ZNF233	
																																												LILRA5	
																																												TMPRSS9	
																																												NDUFS7	
																																												C19orf35	
																																												HSD11B1L	
																																												C19orf45	
																																												ZNF699	
																																												TMEM205	
																																												YJEFN3	
																																												LOC374890	
																																												SBSN	
																																												ZNF829	
																																												ZNF568	
																																												B3GNT8	
																																												IGFL1	
																																												C19orf68	
																																												ZNF773	
																																												WASH5P	
																																												SLC27A1	
																																												ZNF582-AS1	
																																												LYPLA2P2	
																																												C3P1	
																																												ZNF788	
																																												CLEC17A	
																																												CYP4F24P	
																																												ZNF728	
																																												RPSAP58	
																																												RGS9BP	
																																												KRTDAP	
																																												ZNF790	
																																												CEACAM22P	
																																												CEACAM16	
																																												BLOC1S3	
																																												BHMG1	
																																												IGFL3	
																																												ZNF808	
																																												ZNF888	
																																												ZNF761	
																																												TMEM238	
																																												ZNF470	
																																												ZNF749	
																																												ZNF324B	
																																												ONECUT3	
																																												LOC390877	
																																												OR7G2	
																																												OR7G3	
																																												OR7A10	
																																												NUDT19	
																																												ZNF793	
																																												ACP7	
																																												PINLYP	
																																												ZNF818P	
																																												ZNF805	
																																												SPRED3	
																																												MEX3D	
																																												ZNF321P	
																																												LINC01002	
																																												PRSS57	
																																												VMAC	
																																												LINC00664	
																																												LOC400684	
																																												LOC400685	
																																												LGALS17A	
																																												LOC400706	
																																												SIGLEC16	
																																												LOC400710	
																																												ZNF880	
																																												ZNF772	
																																												ZNF833P	
																																												IGLON5	
																																												HAPLN4	
																																												CTXN1	
																																												CACTIN-AS1	
																																												MIRLET7E	
																																												MIR125A	
																																												MIR150	
																																												MIR181C	
																																												MIR199A1	
																																												MIR23A	
																																												MIR24-2	
																																												MIR27A	
																																												MIR7-3	
																																												MIR99B	
																																												PLIN5	
																																												CLEC4GP1	
																																												ZNF506	
																																												GOLGA2P9	
																																												ZNF724	
																																												PSG8	
																																												TARM1	
																																												MIR330	
																																												MIR371A	
																																												MIR372	
																																												MIR373	
																																												IGFL4	
																																												FLJ25758	
																																												A1BG-AS1	
																																												DPRX	
																																												DUXA	
																																												ASPDH	
																																												MIR181D	
																																												MIR512-1	
																																												MIR512-2	
																																												MIR498	
																																												MIR520E	
																																												MIR515-1	
																																												MIR519E	
																																												MIR520F	
																																												MIR515-2	
																																												MIR519C	
																																												MIR520A	
																																												MIR526B	
																																												MIR519B	
																																												MIR525	
																																												MIR523	
																																												MIR518F	
																																												MIR520B	
																																												MIR518B	
																																												MIR526A1	
																																												MIR520C	
																																												MIR518C	
																																												MIR524	
																																												MIR517A	
																																												MIR519D	
																																												MIR521-2	
																																												MIR520D	
																																												MIR517B	
																																												MIR520G	
																																												MIR516B2	
																																												MIR526A2	
																																												MIR518E	
																																												MIR518A1	
																																												MIR518D	
																																												MIR516B1	
																																												MIR518A2	
																																												MIR517C	
																																												MIR520H	
																																												MIR521-1	
																																												MIR522	
																																												MIR519A1	
																																												MIR527	
																																												MIR516A1	
																																												MIR516A2	
																																												MIR519A2	
																																												KLKP1	
																																												LOC641367	
																																												TMEM91	
																																												CCER2	
																																												SCGB1B2P	
																																												LINC01529	
																																												SDHAF1	
																																												LOC644189	
																																												LOC644554	
																																												LINGO3	
																																												ARRDC5	
																																												FAM138A	
																																												LOC645553	
																																												C19orf67	
																																												FAM90A27P	
																																												SBK2	
																																												RNF225	
																																												UCA1	
																																												PSG10P	
																																												LGALS7B	
																																												PHLDB3	
																																												MBD3L4	
																																												MBD3L3	
																																												SEC1P	
																																												FAM138C	
																																												ZNF826P	
																																												HNRNPA1P10	
																																												SNORD23	
																																												SNORD88A	
																																												SNORD88B	
																																												SNORD88C	
																																												SNORD105	
																																												PPAN-P2RY11	
																																												MIR637	
																																												MIR638	
																																												MIR639	
																																												MIR640	
																																												MIR641	
																																												MIR642A	
																																												MIR643	
																																												OVOL3	
																																												LOC728485	
																																												LOC728752	
																																												PLIN4	
																																												CCDC61	
																																												ZNF878	
																																												CEACAM18	
																																												SHISA7	
																																												LOC729966	
																																												RFPL4AL1	
																																												LINC01530	
																																												BORCS8	
																																												ZNF814	
																																												ZNF726	
																																												MIR769	
																																												SIGLEC14	
																																												MIMT1	
																																												HAVCR1P1	
																																												SNORD105B	
																																												ZGLP1	
																																												MIR935	
																																												SNAR-G1	
																																												SNAR-F	
																																												SNAR-A1	
																																												SNAR-A12	
																																												LINC01233	
																																												ZNF667-AS1	
																																												LOC100128398	
																																												LOC100128568	
																																												C19orf71	
																																												LOC100128573	
																																												HPN-AS1	
																																												LINC01531	
																																												LOC100129083	
																																												ZNF730	
																																												ZNF737	
																																												LOC100129935	
																																												SCGB2B3P	
																																												TMEM221	
																																												SBK3	
																																												DPP9-AS1	
																																												BSPH1	
																																												MZF1-AS1	
																																												PET100	
																																												KIR2DS2	
																																												IPO5P1	
																																												LOC100134317	
																																												PEG3-AS1	
																																												SNAR-A3	
																																												SNAR-A5	
																																												SNAR-A7	
																																												SNAR-A11	
																																												SNAR-A4	
																																												SNAR-A6	
																																												SNAR-A8	
																																												SNAR-A10	
																																												SNAR-C2	
																																												SNAR-C4	
																																												SNAR-E	
																																												SNAR-B1	
																																												SNAR-C1	
																																												SNAR-C3	
																																												SNAR-D	
																																												SNAR-G2	
																																												SRRM5	
																																												ERICH4	
																																												SNAR-A14	
																																												ERVV-2	
																																												MEF2B	
																																												EML2-AS1	
																																												ZNF729	
																																												LOC100288123	
																																												LOC100289333	
																																												LOC100289650	
																																												ZNF587B	
																																												MIR1470	
																																												MIR1270	
																																												MIR1283-2	
																																												MIR1909	
																																												MIR1181	
																																												MIR1238	
																																												MIR1268A	
																																												MIR1323	
																																												MIR1283-1	
																																												MIR1302-2	
																																												MIR1227	
																																												LOC100379224	
																																												LOC100420587	
																																												MIR1302-9	
																																												MIR3191	
																																												MIR3188	
																																												MIR1302-10	
																																												MIR3187	
																																												MIR3190	
																																												MIR320E	
																																												MIR1302-11	
																																												MIR4322	
																																												MIR3189	
																																												MIR4324	
																																												MIR4323	
																																												MIR4321	
																																												MIR642B	
																																												MIR3940	
																																												PCAT19	
																																												LOC100505585	
																																												LOC100505622	
																																												NAPA-AS1	
																																												LOC100505715	
																																												CARD8-AS1	
																																												LINC01532	
																																												PPP5D1	
																																												PTOV1-AS1	
																																												DACT3-AS1	
																																												TMEM147-AS1	
																																												LINC00665	
																																												GFY	
																																												ZNF865	
																																												LOC100507373	
																																												ZNF571-AS1	
																																												THEG5	
																																												RAB11B-AS1	
																																												TGFBR3L	
																																												ZNF559-ZNF177	
																																												ZNF816-ZNF321P	
																																												MIA-RAB4B	
																																												RAB4B-EGLN2	
																																												ZNF625-ZNF20	
																																												APOC4-APOC2	
																																												MIR4530	
																																												MIR4754	
																																												MIR4752	
																																												MIR371B	
																																												MIR4749	
																																												MIR4750	
																																												MIR4747	
																																												MIR4531	
																																												MIR4746	
																																												MIR4748	
																																												MIR4745	
																																												MIR4751	
																																												LOC100631378	
																																												LINC00904	
																																												MIR5695	
																																												MIR4999	
																																												MIR5196	
																																												MIR5684	
																																												MIR5088	
																																												MIR5589	
																																												UPK1A-AS1	
																																												NUCB1-AS1	
																																												LIPE-AS1	
																																												LOC100996349	
																																												LOC100996351	
																																												LINC01533	
																																												LOC101059948	
																																												IFNL4	
																																												ZNF350-AS1	
																																												LOC101927151	
																																												LOC101927411	
																																												LOC101927572	
																																												ZNF529-AS1	
																																												LINC01534	
																																												LINC01535	
																																												ZNF793-AS1	
																																												LINC01480	
																																												LOC101928063	
																																												LOC101928238	
																																												LOC101928295	
																																												PTOV1-AS2	
																																												LOC101928464	
																																												LOC101928517	
																																												ZNF649-AS1	
																																												LOC101928602	
																																												LOC101928804	
																																												LOC101928844	
																																												LOC101928845	
																																												LOC101928886	
																																												ZIM2-AS1	
																																												LOC101929124	
																																												LOC101929144	
																																												LOC101929164	
																																												LOC101930071	
																																												RNU6-7	
																																												SPACA6P-AS	
																																												MIR6088	
																																												MIR6790	
																																												MIR6791	
																																												MIR6792	
																																												MIR6795	
																																												MIR6796	
																																												MIR6797	
																																												MIR6799	
																																												MIR6800	
																																												MIR6802	
																																												MIR6804	
																																												MIR6805	
																																												MIR6806	
																																												MIR6885	
																																												MIR6886	
																																												MIR7850	
																																												MIR7974	
																																												MIR8074	
																																												MIR8077	
																																												MIR8085	
																																												MIR6719	
																																												MIR6807	
																																												MIR6794	
																																												MIR6887	
																																												MIR8061	
																																												MIR1199	
																																												MIR6515	
																																												MIR6789	
																																												MIR6793	
																																												MIR6798	
																																												MIR6803	
																																												MIR7108	
																																												MIR7975	
																																												MIR6801	
																																												ZNF30-AS1	
																																												LOC102723617	
																																												ZNF528-AS1	
																																												LOC102724279	
																																												LOC102724360	
																																												LOC102724908	
																																												LOC102724958	
																																												LOC102725254	
																																												RNU6-2	
																																												LENG8-AS1	
																																												LINC01224	
																																												BISPR	
																																												LOC105372273	
																																												LOC105372280	
																																												LOC105372288	
																																												LOC105372383	
																																												LOC105372397	
																																												LOC105372419	
																																												LOC105372440	
																																												LOC105372441	
																																												LOC105372444	
																																												LOC105372476	
																																												LOC105372483	
																																												LOC105447645	
																																												PLA2G4C-AS1	
																																												GLTSCR2-AS1	
																																												SNORD135	
																																												SNORA104	
