cytoband	14q13.3	11q13.3	1q21.3	7p11.2	8q24.3	3q26.33	5p15.33	7p22.1	12q15	19q13.2	5q35.3	19q12	17q24.2	4q12	22q11.21	9q34.3	7q31.2	4p16.3	10q21.2	12p13.33	20q11.21	1p34.1	2q31.2	21q22.3	8q21.3	8p11.22	17q12	12q13.2	20q13.32	6p21.2	16p13.12	16q22.1	12p12.1	2p21	6p22.2	2p16.1	5p13.1	
			CHTOP		ZNF517					HIPK4	NSD1				LOC284865	LOC100129722		ZNF595			MIR3193		RBM45	FAM207A			RAD51L3-RFFL	ANKRD52		LTA	EARS2						FGF10-AS1	
			LCE2B		KIAA1875					ZNF420	GMCL1P1				PI4KAP2	CCDC183-AS1		JAKMIP1			RP3-322G13.5		UBR3	RSPH1			MIR4726	SLC39A5		LTB	VWA3A						CTD-2127H9.1	
			SLC39A1		TMEM249					FAM98C	RMND5B				TPTEP1	FAM157B		FAM53A			HM13-AS1		MYO3B	UMODL1			MIR4734	SPRYD4		MCM3	OTOA						LINC00603	
			TMOD4		SPATC1					CAPN12	RANBP17				LOC388849	MAN1B1-AS1		TRMT44			LOC101926889		DUSP19	LINC00313			MIR4727	OR6C2		MDFI	TEKT5							
			CERS2		MROH5					LGALS16	PANK3				LOC400891	MIR4292		ZBTB49			LOC101926935		ANKAR	C21orf88			MIR378J	OR6C4		MEA1	ITPRIPL2							
			CRNN		MAFA					TTC9B	BTNL8				BCRP2	MIR3621		ZNF721			RP4-760C5.5		TTC30B	C21orf90			MIR6779	OR6C1		MEP1A	PDILT							
			ZBTB7B		C8orf82					ZNF569	DOK3				MIR130B	TMEM210		ZNF718			RP4-777D9.2		ZSWIM2	MCM3AP-AS1				OR6C75		MICB	MPV17L							
			OAZ3		LRRC24					ZNF570	ZFP2				MIR185	MIR4673		CCDC96			LOC101929608		ZNF385B	LCA5L				OR6C76		MLN	PDZD9							
			DPM3		LINC00051					ZNF567	RUFY1				THAP7-AS1	MIR4674		CTBP1-AS			LOC101929625		PPP1R1C	IGSF5				OR6C70		MOCS1	ANKS4B							
			CRCT1		MROH6					ZNF383	CPEB4				P2RX6P	MIR4479		CRIPAK			RP5-828K20.2		GPR155	SIK1				OR6C65		MOG	NOMO2							
			GON4L		SCXB					ZNF781	PRR7				RIMBP3B	MIR6722		RP11-586D19.1			RP4-788L20.3		FAM171B	LINC00479				OR6C68		MSH5	PKD1P1							
			C1orf56		MIR661					EID2	OR4F16				FAM230B	MIR7114		DOK7			LOC101929698		HNRNPA3	ZNF295-AS1				TMEM198B		MUT	ACSM2B							
			MSTO1		MROH1					ZNF780B	TRIM7				TMEM191C			LINC00955					METAP1D	C21orf128				OR9K2		RPL10A	SLC7A5P2							
			GOLPH3L		LOC731779					ZNF540	MXD3				MIR648			RNF212					CCDC141	PLAC4				SNORD59B		NEU1	BCAR4							
			YY1AP1		MIR937					ZNF585A	THOC3				TMEM191B			NOP14-AS1					AC018470.4	DSCR9				AGAP2-AS1		NFKBIE	KNOP1							
			UBE2Q1		MIR939					GGN	TRIM52				PI4KAP1			NAT8L					ERICH2	BRWD1-IT2				MIR1228		NFKBIL1	CRYM-AS1							
			FAM63A		FAM83H-AS1					IFNL2	PHYKPL				LOC729444			MSANTD1					MLK7-AS1	DSCR10				BLOC1S1-RDH5		NFYA	NOMO3							
			ASH1L		CDC42P3					IFNL3	UNC5A				MIR301B			FAM86EP					EVX2	LINC00323				MIR6758		NOTCH4	MIR193B							
			LENEP		SCXA					IFNL1	TRIM41				CECR7			POLN					LINC01116	LINC00319				MIR6759		PBX2	MIR484							
			SLC50A1		CCDC166					ZNF780A	BOD1				CECR5-AS1			USP17L6P					CERKL	LOC284837						PEX6	SMG1P1							
			CDC42SE1		LOC100133669					C19orf54	COL23A1				FLJ41941			USP17L9P					SP5	KRTAP12-2						PGC	NPIPA3							
			PGLYRP4		AC084125.4					ZFP82	UBTD2				MIR1286			C4orf48					HOXD-AS1	KRTAP12-1						PGK2	NPIPA2							
			ATP8B2		LOC100288181					ZNF790-AS1	SCGB3A1				MIR1306			RP11-503N18.1					FSIP2	KRTAP10-10						PHF1	ABCC6P1							
			PBXIP1		MIR1234					LOC284412	SFXN1				MIR3198-1			ZNF876P					MIR10B	LINC00162						PIM1	LOC653786							
			S100A14		MIR4472-1					HKR1	GPRIN1				MIR3618			DEFB131					LINC01124	COL18A1-AS1						PKHD1	MIR548D2							
			GATAD2B		MIR4664					ZNF260	ZNF354B				SEPT5-GP1BB			LOC650293					DFNB59	KRTAP10-4						POLH	CLEC19A							
			CGN		MIR6846					ZNF546	C5orf47				MIR4761			ZNF732					MIR561	KRTAP10-6						POU5F1	SHISA9							
			ZNF687		MIR6847					ZNF850	C5orf58				LOC100652736			SCARNA22					MIR933	KRTAP10-7						PPARD	ABCC6P2							
			HCN3		MIR6848					NCCRP1	OR2Y1				POTEH-AS1			MIR572					AC074286.1	KRTAP10-9						PPP1R10	RRN3P1							
			PRUNE		MIR7112-2					SYCN	NUDCD2				LOC100996342			USP17L24					TMEM194B	KRTAP10-1						PPP2R5D	C16orf52							
			MRPL9		MIR6850					LEUTX	CREBRF				BMS1P17			USP17L25					SP9	KRTAP10-11						PRIM2	TVP23A							
			INTS3		MIR6893					SELV	BTNL9				LOC101928891			USP17L26					MIR1246	KRTAP10-2						MAPK13	MIR365A							
			SCNM1		MIR6845					ZNF829	HIGD2A				AC004019.13			USP17L27					MIR548N	KRTAP10-5						PSMB8	RRN3P3							
			TNFAIP8L2		MIR6849					ZNF568	FAM153B				MIR6816			USP17L28					MIR1258	KRTAP10-8						PSMB9	NPIPB5							
			TRIM46							ZNF790	LOC202181							USP17L29					MIR1245A	KRTAP10-3						PTK7	LOC100190986							
			FLAD1							ZNF793	EIF4E1B							USP17L30					MIR3128	KRTAP12-3						RGL2	LOC100271836							
			SNX27							PAPL	RASGEF1C							FLJ36777					MIR3129	KRTAP12-4						PRPH2	LOC100288162							
			HORMAD1							SPRED3	LOC257358							PSAPL1					MIR3606	KRTAP10-12						TRIM27	NPIPA5							
			LCE3D							LGALS17A	EFCAB9							MIR943					HOXD-AS2	LINC00316						RHAG	MIR3180-3							
			AQP10							CCER2	SH3PXD2B							LOC100129917					TTN-AS1	LINC00114						RING1	MIR3180-1							
			PYGO2							LOC644189	LOC285593							RP11-367J11.2					MIR4437	LOC642852						BRD2	MIR3179-2							
			NUP210L							LOC644554	FAM153A							LOC100130872					MIR1245B	LINC00163						RNF5	MIR3180-2							
			PGLYRP3							LGALS7B	ARL10							RP3-513G18.2					MIR4444-1	SSR4P1						RPS10	MIR3179-1							
			THEM4							MIR641	OR2V2							USP17L10					OSGEPL1-AS1	LINC00322						RPS18	MIR3179-3							
			GABPB2							LOC728752	ZNF454							USP17L11					SCHLAP1	AL592528.1						RXRB	MIR3180-4							
			TCHHL1							LOC100129935	C5orf60							USP17L12					AC007405.4	MIR3197						VPS52	MIR548AA2							
			RPTN							ZNF571-AS1	PRR7-AS1							USP17L13					AC009948.5	ITGB2-AS1						SRSF3	MIR4718							
			TDRD10							MIA-RAB4B	PFN3							USP17L17					AC007966.1	DSCAM-AS1						SKIV2L	SNX29P1							
			SHE							RAB4B-EGLN2	ZNF879							USP17L18					AC097500.2	MIR4760						SNRPC	NPIPA7							
			DCST2							MIR4530	FBLL1							USP17L19					AC012594.1	LRRC3-AS1						SRF	MIR6506							
			S100A16							AC016582.2	SIMC1							USP17L20					MIR6512	DIP2A-IT1						SRPK1	MIR6511B-1							
			CREB3L4							IFNL4	MIR103A1							USP17L15					AC017048.4	BRWD1-AS1						TAF11	MIR6770-2							
			LELP1							AC092295.7	MIR218-2							MIR548I2					LOC102800310	COL18A1-AS2						TAP1	MIR6511A-2							
			DCST1							AC074138.3	FLJ16171							TMED11P						DSCAM-IT1						TAP2								
			BNIPL							AC012309.5	MIR340							MIR4274						LOC101928398						TAPBP								
			SPRR4							LOC101927720	SNORD95							MIR3138						AF064858.7						TBCC								
			LCE4A							MIR6796	SNORD96A							STX18-AS1						TRPM2-AS						TCF19								
			KRTCAP2							MIR6719	RP11-844P9.2							MIR378D1						LOC101928689						TCP11								
			CRTC2								ZFP62							MIR4800						LOC101928796						PPP1R11								
			LCE5A								SMIM23							MIR4798						MIR6070						TEAD3								
			RIIAD1								CBY3							HTT-AS						MIR6814						TFAP2B								
			THEM5								FAM153C													MIR6815						TNF								
			RUSC1-AS1								SNORA74B													MIR6508						TNXA								
			S100A7A								MIR585													AP001422.3						TNXB								
			LINGO4								CTB-174D11.1																			CRISP2								
			FLG-AS1								LOC728554																			TULP1								
			LCE1A								AACSP1																			VARS								
			LCE1B								LINC00847																			VEGFA								
			LCE1C								OR4F29																			ZNF76								
			LCE1D								FAM196B																			ZNF165								
			LCE1E								RP4-669L17.10																			TRIM26								
			LCE1F								LOC100133331																			ZNF184								
			LCE2A								LOC100268168																			ZSCAN26								
			LCE2C								MIR1229																			ZKSCAN8								
			LCE2D								MIR103B1																			ZSCAN9								
			LCE3A								MIR4281																			ZNF204P								
			LCE3B								MIR3912																			PTP4A1								
			LCE3C								LINC01187																			PRRC2A								
			LCE3E								LOC100507387																			BAG6								
			LYSMD1								TRIM52-AS1																			GPANK1								
			HRNR								MIR4634																			DDX39B								
			FLG2								MIR4638																			ABHD16A								
			C1orf189								MIR378E																			SLC39A7								
			NBPF18P								HEIH																			HSD17B8								
			KPRP								LOC100996385																			OR2H2								
			LCE6A								RP11-80G7.1																			NELFE								
			PRR9								LOC101927835																			LST1								
			ASH1L-AS1								CTB-178M22.2																			PLA2G7								
			POU5F1P4								CTD-2270F17.1																			TFEB								
			S100A7L2								RP11-779O18.1																			HIST1H4I								
			MIR554								LOC101928136																			HIST1H2AI								
			MIR555								LOC101928154																			HIST1H2AK								
			MIR92B								LOC101928445																			HIST1H2AJ								
			MIR190B								CTC-338M12.4																			HIST1H2AL								
			C1orf68								MIR6165																			HIST1H2AM								
			MSTO2P								MIR8056																			HIST1H2BG								
			LOC100132111								MIR8089																			HIST1H2BL								
			C2CD4D								LOC102546299																			HIST1H2BN								
			MIR4258								CTB-7E3.1																			HIST1H2BM								
			RP11-307C12.11								LOC102577424																			HIST1H2BF								
			TNFAIP8L2-SCNM1								LOC102577426																			HIST1H2BE								
			RP1-140J1.1																											HIST1H2BH								
			MIR6737																											HIST1H2BI								
			MIR8083																											HIST1H2BO								
																														HIST1H3D								
																														HIST1H3E								
																														HIST1H3I								
																														HIST1H3G								
																														HIST1H3J								
																														HIST1H3H								
																														HIST1H4D								
																														HIST1H4F								
																														HIST1H4K								
																														HIST1H4J								
																														HIST1H4H								
																														HIST1H4E								
																														HIST1H4L								
																														HIST1H4G								
																														DHX16								
																														SUPT3H								
																														GCM1								
																														KCNK5								
																														B3GALT4								
																														SYNGAP1								
																														STK19								
																														IER3								
																														HIST1H3F								
																														HIST1H2AG								
																														HIST1H2BJ								
																														RNF8								
																														WDR46								
																														ZBTB22								
																														PPT2								
																														NCR2								
																														MED20								
																														SLC25A27								
																														BAG2								
																														POLR1C								
																														MAD2L1BP								
																														MDC1								
																														TRAM2								
																														ZSCAN12								
																														CUL7								
																														TRIM10								
																														FLOT1								
																														RCAN2								
																														HCG9								
																														PRSS16								
																														CRISP3								
																														BTN3A3								
																														BTN2A2								
																														PFDN6								
																														HMGN4								
																														UBD								
																														AGPAT1								
																														DNPH1								
																														C6orf10								
																														CNPY3								
																														FRS3								
																														SLC22A7								
																														HCP5								
																														EHMT2								
																														APOBEC2								
																														TRIM31								
																														BTN3A2								
																														BTN3A1								
																														BTN2A1								
																														CAPN11								
																														NUDT3								
																														NRM								
																														STK38								
																														ICK								
																														ENPP4								
																														CMTR1								
																														CUL9								
																														ANKS1A								
																														UBR2								
																														PHF3								
																														DAAM2								
																														GLTSCR1L								
																														DDAH2								
																														CD2AP								
																														MTCH1								
																														ZNF318								
																														SPDEF								
																														YIPF3								
																														USP49								
																														ZNF451								
																														OR2B6								
																														FBXO9								
																														OR12D2								
																														OR11A1								
																														OR2W1								
																														OR2J2								
																														OR2H1								
																														SNORD52								
																														SNORD48								
																														BRPF3								
																														GNMT								
																														TNFRSF21								
																														TINAG								
																														MRPS18B								
																														TMEM14A								
																														C6orf15								
																														ABT1								
																														PRICKLE4								
																														PACSIN1								
																														ZNRD1								
																														DEF6								
																														C6orf48								
																														MRPL2								
																														CYP39A1								
																														ETV7								
																														LGSN								
																														CUTA								
																														PPIL1								
																														RAB23								
																														CLIC5								
																														TREM2								
																														TREM1								
																														HCG4								
																														HMGCLL1								
																														CCHCR1								
																														GTPBP2								
																														BTN2A3P								
																														UHRF1BP1								
																														CENPQ								
																														MRPS18A								
																														MRPS10								
																														LRRC1								
																														TMEM63B								
																														TBC1D22B								
																														SAYSD1								
																														TRERF1								
																														APOM								
																														BTNL2								
																														TRIM39								
																														VARS2								
																														LRFN2								
																														AARS2								
																														XPO5								
																														KIAA1586								
																														CPNE5								
																														LSM2								
																														C6orf47								
																														LY6G5B								
																														LY6G6D								
																														ENPP5								
																														ELOVL5								
																														ZFAND3								
																														GPSM3								
																														FKBPL								
																														ZSCAN31								
																														C6orf106								
																														MRPL14								
																														DLK2								
																														LY6G6E								
																														ZNF322								
																														TREML2								
																														RPP21								
																														ATAT1								
																														ZKSCAN3								
																														ZSCAN16								
																														RNF39								
																														SLC44A4								
																														VWA7								
																														C6orf25								
																														LY6G6C								
																														LY6G5C								
																														PRR3								
																														ZNRD1-AS1								
																														PRRT1								
																														EGFL8								
																														HCG4B								
																														COL21A1								
																														OR5V1								
																														OR2B2								
																														OR12D3								
																														TFAP2D								
																														KCNK16								
																														UQCC2								
																														PGBD1								
																														TTBK1								
																														HIST1H2AH								
																														HIST1H2BK								
																														PAQR8								
																														RRP36								
																														KCNK17								
																														ABCC10								
																														TRIM15								
																														KLC4								
																														MLIP								
																														TJAP1								
																														POM121L2								
																														IL17F								
																														EFHC1								
																														BTBD9								
																														SCAND3								
																														FOXP4								
																														KLHDC3								
																														SLC26A8								
																														MAS1L								
																														IP6K3								
																														TAF8								
																														C6orf141								
																														TRIM40								
																														DPCR1								
																														CCDC167								
																														PSORS1C1								
																														PSORS1C2								
																														PPP1R18								
																														PTCRA								
																														TCTE1								
																														KHDRBS2								
																														TRIM39-RPP21								
																														TUBB								
																														BEND6								
																														GSTA5								
																														OPN5								
																														GPR115								
																														GPR116								
																														TDRD6								
																														SPATS1								
																														C6orf223								
																														RSPH9								
																														LRRC73								
																														TREML5P								
																														ADCY10P1								
																														OARD1								
																														KIF6								
																														TMEM217								
																														FGD2								
																														PI16								
																														C6orf89								
																														ARMC12								
																														C6orf1								
																														LEMD2								
																														ZBTB9								
																														ZBTB12								
																														C6orf136								
																														ZSCAN12P1								
																														FAM83B								
																														GPR111								
																														TSPO2								
																														UNC5CL								
																														KCTD20								
																														PXT1								
																														LHFPL5								
																														SCUBE3								
																														ZSCAN23								
																														NKAPL								
																														TOB2P1								
																														DEFB110								
																														DEFB112								
																														DEFB113								
																														DEFB114								
																														HCG27								
																														GPX6								
																														NCR3								
																														LY6G6F								
																														MDGA1								
																														GPR110								
																														ZNF311								
																														LOC285819								
																														HLA-F-AS1								
																														HCG22								
																														RP3-510O8.4								
																														PNPLA1								
																														TREML4								
																														RPL7L1								
																														RNF5P1								
																														IFITM4P								
																														CLPSL1								
																														TREML1								
																														TREML3P								
																														EYS								
																														ZNF391								
																														ZFP57								
																														SLC35B2								
																														HCG26								
																														GUSBP4								
																														ZKSCAN4								
																														GUSBP2								
																														VN1R10P								
																														SFTA2								
																														CLPSL2								
																														C6orf222								
																														GLYATL3								
																														GFRAL								
																														MUC21								
																														LOC401242								
																														MCCD1								
																														SAPCD1								
																														LINC00336								
																														RAB44								
																														LINC00951								
																														CRIP3								
																														TRAM2-AS1								
																														KLHL31								
																														DEFB133								
																														MIR206								
																														MIR219-1								
																														HCG14								
																														HCG23								
																														HCG25								
																														HCG18								
																														HCG17								
																														C6orf226								
																														TMEM151B								
																														LOC441155								
																														OR2B3								
																														OR2J3								
																														OR14J1								
																														OR10C1								
																														ATP6V0CP3								
																														PTCHD4								
																														SLC25A51P1								
																														MIR133B								
																														GGNBP1								
																														HCG11								
																														LOC554223								
																														C6orf132								
																														RPS16P5								
																														ZNF192P1								
																														SNORA38								
																														SNORD32B								
																														SNORD84								
																														SNORD117								
																														MIR586								
																														C6orf100								
																														LOC730101								
																														GSTA7P								
																														TDRG1								
																														MIR877								
																														ZSCAN16-AS1								
																														LOC100129636								
																														PSORS1C3								
																														RP1-207H1.3								
																														LOC100131289								
																														LOC100132354								
																														LINC00240								
																														TOMM6								
																														LOC100270746								
																														ANKRD66								
																														LOC100294145								
																														MIR1275								
																														MIR1236								
																														MIR3143								
																														MTRNR2L9								
																														MIR3925								
																														LOC100506188								
																														LINC01012								
																														LINC01015								
																														HCG8								
																														MICA								
																														TAPSAR1								
																														LOC100507547								
																														LINC01016								
																														MUC22								
																														RPS10-NUDT3								
																														MSH5-SAPCD1								
																														ATP6V1G2-DDX39B								
																														PPT2-EGFL8								
																														MIR4647								
																														MIR4641								
																														MIR4646								
																														MIR4640								
																														MIR4642								
																														MIR4462								
																														MIR5004								
																														MIR5690								
																														MIR5685								
																														RNU6-71P								
																														MLIP-IT1								
																														PANDAR								
																														RP3-365O12.2								
																														RP11-719J20.1								
																														RP1-27K12.2								
																														RP11-203B9.4								
																														LOC101929555								
																														LOC102060414								
																														MIR6833								
																														MIR6834								
																														MIR6835								
																														MIR6891								
																														MIR7111								
																														MIR6721								
																														MIR6832								
																														MIR6780B								
																														MIR6873								
																														MIR7159								
